,pred_label,label,sentence
886,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O']","['Yes', ',', 'that', ""'s"", 'a', 'good', 'thing', ',', 'but', 'it', ""'s"", 'made', 'from', 'aluminum', 'that', 'scratches', 'easily', '.']"
664,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['To', 'start', 'things', 'off', ',', 'our', 'lovely', 'server', 'Brooke', 'was', 'quickly', 'on', 'hand', 'to', 'take', 'my', 'drink', 'order', '.']"
620,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']","['If', 'it', ""'s"", 'nice', 'outside', ',', 'request', 'for', 'a', 'table', 'in', 'the', 'balcony', '.']"
682,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']","['Other', 'than', 'not', 'being', 'a', 'fan', 'of', 'click', 'pads', '(', 'industry', 'standard', 'these', 'days', ')', 'and', 'the', 'lousy', 'internal', 'speakers', ',', 'it', ""'s"", 'hard', 'for', 'me', 'to', 'find', 'things', 'about', 'this', 'notebook', 'I', 'do', ""n't"", 'like', ',', 'especially', 'considering', 'the', '$', '350', 'price', 'tag', '.']"
522,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']","['Though', ',', 'one', 'thing', 'I', 'realized', 'later', 'on', 'was', 'that', 'the', 'restaurant', 'either', 'used', 'MSG', 'or', 'a', 'meat', 'tenderizer', 'on', 'the', 'steak', '.']"
217,"['O', 'B', 'O']","['O', 'O', 'O']","['Nice', 'job', '!']"
695,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O']","['Super', 'light', ',', 'super', 'sexy', 'and', 'everything', 'just', 'works', '.']"
1370,"['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', 'was', 'considering', 'buying', 'the', 'Air', ',', 'but', 'in', 'reality', ',', 'this', 'one', 'has', 'a', 'more', 'powerful', 'performance', 'and', 'seems', 'much', 'more', 'convenient', ',', 'even', 'though', 'it', ""'s"", 'about', '.20', 'inch', 'thicker', 'and', '2', 'lbs', 'heavier', '.']"
225,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', 'hope', 'one', 'day', 'Scooner', 'or', 'Later', 'returns', 'to', 'what', 'it', 'once', 'was', '.']"
1155,"['O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Also', ',', 'in', 'using', 'the', 'built', '-', 'in', 'camera', ',', 'my', 'voice', 'recording', 'for', 'my', 'vlog', 'sounds', 'like', 'the', 'interplanetary', 'transmissions', 'in', 'the', '``', 'Star', 'Wars', ""''"", 'saga', '.']"
928,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['One', 'more', 'thing', ',', 'this', 'mac', 'does', 'NOT', 'come', 'with', 'restore', 'disks', 'and', 'I', 'am', 'not', 'sure', 'if', 'you', 'can', 'make', 'them', 'direct', 'from', 'the', 'mac', 'like', 'you', 'can', 'with', 'newer', 'PC', ""'s"", ',', 'also', 'the', 'charging', 'cables', 'are', 'made', 'of', 'the', 'same', 'cheap', 'material', 'as', 'the', 'iPhone', '/', 'iPod', 'touch', 'cables', '.']"
1179,"['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O']","['The', 'sound', 'was', 'crappy', 'even', 'when', 'you', 'turn', 'up', 'the', 'volume', 'still', 'the', 'same', 'results', '.']"
1287,"['O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', 'tried', 'several', 'monitors', 'and', 'several', 'HDMI', 'cables', 'and', 'this', 'was', 'the', 'case', 'each', 'time', '.']"
131,"['O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'B', 'I', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['We', 'ordered', 'the', 'marinated', 'grapes', ',', 'buffalo', 'style', 'chicken', 'wings', ',', 'and', 'the', 'turkey', 'sandwich', '.']"
281,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['That', ""'s"", 'a', 'huge', 'compliment', ',', 'especially', 'in', 'the', 'fickled', 'restaurant', 'business', ',', '...', 'enough', 'already', '!']"
104,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O']","['Every', 'time', '``', '0', '-', 'sixtynine', ""''"", 'is', 'called', 'the', 'bartender', 'buys', 'everyone', 'drinks', '!']"
1460,"['O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'I', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O']","['I', 'know', 'some', 'people', 'complained', 'about', 'HDMI', 'issues', 'but', 'they', 'released', 'a', 'firmware', 'patch', 'to', 'address', 'that', 'issue', '.']"
1219,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', 'would', 'say', 'that', '85', '%', 'of', 'the', 'design', 'industry', 'is', 'Mac', 'for', 'good', 'reason', '.']"
234,"['O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'O']","['It', ""'s"", 'a', 'great', 'place', 'to', 'enjoy', 'food', 'and', 'meet', 'friends', '.']"
1317,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O']","['O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O']","['It', 'just', 'works', 'out', 'of', 'the', 'box', 'and', 'you', 'have', 'a', 'lot', 'of', 'cool', 'software', 'included', 'with', 'the', 'OS', '.']"
649,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['They', 'serve', 'it', 'in', 'a', 'tall', ',', 'skinny', 'hour', '-', 'glass', 'shaped', 'glass', 'to', 'disguise', 'the', 'fact', 'that', 'you', 'a', 'getting', 'a', 'small', 'juice', 'at', 'the', 'price', 'of', 'a', 'half', 'gallon', 'in', 'a', 'supermarket', '.']"
285,"['O', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O']","['The', 'restaurant', 'offers', 'an', 'extensive', 'wine', 'list', 'and', 'an', 'ambiance', 'you', 'wo', ""n't"", 'forget', '!']"
1098,"['O', 'O', 'O', 'O', 'O', 'O', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', 'like', 'coming', 'back', 'to', 'Mac', 'OS', 'but', 'this', 'laptop', 'is', 'lacking', 'in', 'speaker', 'quality', 'compared', 'to', 'my', '$', '400', 'old', 'HP', 'laptop', '.']"
